Ite,EvalCount,BestEval,EvalCount,BestEval
Ite,2232486,-4.258647e+05,6734,-4.044267e+05
Ite,2240971,-4.365444e+05,6663,-4.144713e+05
Ite,2249303,-4.449450e+05,6476,-4.221009e+05
Ite,2257925,-4.458744e+05,6802,-4.030015e+05
Ite,2266108,-4.676080e+05,6374,-4.430298e+05
Ite,2274428,-4.882947e+05,6465,-4.627430e+05
Ite,2282955,-4.894466e+05,6706,-4.252616e+05
Ite,2291199,-5.170246e+05,6435,-4.893148e+05
Ite,2299543,-5.182686e+05,6509,-4.608570e+05
Ite,2307871,-5.814237e+05,6514,-5.514231e+05
Ite,2316228,-5.827759e+05,6442,-5.221558e+05
Ite,2324365,-7.255483e+05,6332,-6.931129e+05
Ite,2332471,-7.921591e+05,6282,-7.583667e+05
Ite,2340672,-7.937236e+05,6393,-7.393455e+05
Ite,2348814,-7.967258e+05,6334,-7.599414e+05
Ite,2357046,-9.396048e+05,6416,-9.011671e+05
Ite,2365300,-9.415160e+05,6430,-8.640898e+05
Ite,2373390,-9.699134e+05,6285,-9.278525e+05
Ite,2380387,-1.044057e+06,5182,-1.000005e+06
